Country,Avg Hotel per Night (INR),Misc Expenses per Day (INR),Visa Cost (INR),Safety Rating (1-10),Currency,Currency Rate (1 unit to INR),Best Time to Visit,Known For
Japan,8000,3000,2500,9,JPY,0.55,Mar-May / Oct-Nov,Cherry blossoms & culture
France,10000,4000,7000,8,EUR,90,Apr-Jun / Sep-Oct,Art & cuisine
USA,12000,5000,14000,7,USD,83,Apr-Oct,Road trips & landmarks
UAE,7000,3500,6000,8,AED,22.5,Nov-Mar,Luxury & shopping
Thailand,4000,2000,3000,7,THB,2.3,Nov-Feb,Beaches & temples
Australia,11000,4500,10000,9,AUD,54,Sep-Nov / Mar-May,Wildlife & nature
Germany,9000,3500,7500,9,EUR,89,May-Sep,Oktoberfest & history
Singapore,9000,4000,3000,9,SGD,61,Feb-Apr,Food paradise
Canada,10000,4500,9000,9,CAD,61,Jun-Aug,Northern lights & parks
Italy,8500,3500,7000,8,EUR,90,Apr-Jun / Sep-Oct,History & food
Spain,8000,3200,7000,8,EUR,90,Mar-May / Sep-Nov,Festivals & beaches
Netherlands,9500,3500,7500,9,EUR,90,Apr-May,Tulips & cycling
South Korea,7000,3000,4000,9,KRW,0.063,Sep-Nov / Mar-May,K-culture & food
Turkey,6000,2500,5000,7,TRY,2.5,Apr-Jun,History & bazaars
Malaysia,5000,2200,2000,8,MYR,18,Mar-Oct,Rainforest & food
Indonesia,4500,2000,3000,7,IDR,0.0053,May-Sep,Bali & temples
UK,11000,4500,9000,8,GBP,105,May-Aug,Royal history & culture
Switzerland,13000,5000,8000,9,CHF,95,Jun-Sep / Dec-Feb,Alps & chocolate
New Zealand,12000,4500,11000,10,NZD,50,Nov-Mar,Adventure & scenery
Vietnam,3500,1800,2500,7,VND,0.0034,Feb-Apr / Aug-Oct,Street food & history
